absolute_path,file_name,file_type,sheet_names,max_rows_cols_per_sheet,contains_cc_1412000040,contains_5005026371,contains_5005116291,contains_5005116292,contains_5005066281,contains_5005066282,contains_5005056281,contains_5005046281,contains_Apr_Mar_month_structure,looks_like,evidence_summary
D:\Sandbox\MP2027\raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,requirement,"Sheet1; Hạng mục cần cải tiến; Chi phí hệ thống; Chi phí khấu hao, lãi nhà đất; Chi phí tài sản cố định; Chi phí làm giấy tờ cho NNN; Chi phí sinh nhật; Chi phí phân bổ từ hành chính ; 勘定科目; 原価センタ","Sheet1:55x2; Hạng mục cần cải tiến:186x11; Chi phí hệ thống:97x9; Chi phí khấu hao, lãi nhà đất:131x17; Chi phí tài sản cố định:66x21; Chi phí làm giấy tờ cho NNN:24x17; Chi phí sinh nhật:48x16; Chi phí phân bổ từ hành chính :210x19; 勘定科目:244x9; 原価センタ:66x5",YES,YES,YES,YES,YES,YES,YES,YES,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\requirements\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,requirement,"Sheet1; Hạng mục cần cải tiến; Chi phí hệ thống; Chi phí khấu hao, lãi nhà đất; Chi phí tài sản cố định; Chi phí làm giấy tờ cho NNN; Chi phí sinh nhật; Chi phí phân bổ từ hành chính ; 勘定科目; 原価センタ","Sheet1:55x2; Hạng mục cần cải tiến:186x11; Chi phí hệ thống:97x9; Chi phí khấu hao, lãi nhà đất:131x17; Chi phí tài sản cố định:66x21; Chi phí làm giấy tờ cho NNN:24x17; Chi phí sinh nhật:48x16; Chi phí phân bổ từ hành chính :210x19; 勘定科目:244x9; 原価センタ:66x5",YES,YES,YES,YES,YES,YES,YES,YES,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026.xlsx,requirement,"Sheet1; Hạng mục cần cải tiến; Chi phí hệ thống; Chi phí khấu hao, lãi nhà đất; Chi phí tài sản cố định; Chi phí làm giấy tờ cho NNN; Chi phí sinh nhật; Chi phí phân bổ từ hành chính ; 勘定科目; 原価センタ","Sheet1:55x2; Hạng mục cần cải tiến:186x11; Chi phí hệ thống:97x9; Chi phí khấu hao, lãi nhà đất:131x17; Chi phí tài sản cố định:66x21; Chi phí làm giấy tờ cho NNN:24x17; Chi phí sinh nhật:48x16; Chi phí phân bổ từ hành chính :210x19; 勘定科目:244x9; 原価センタ:66x5",YES,YES,YES,YES,YES,YES,YES,YES,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026_ảnh.xlsx,Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026_ảnh.xlsx,requirement,"Sheet1; Hạng mục cần cải tiến; Chi phí hệ thống; Chi phí khấu hao, lãi nhà đất; Chi phí tài sản cố định; Chi phí làm giấy tờ cho NNN; Chi phí sinh nhật; Chi phí phân bổ từ hành chính ; 勘定科目; 原価センタ","Sheet1:1x1; Hạng mục cần cải tiến:1x1; Chi phí hệ thống:1x1; Chi phí khấu hao, lãi nhà đất:1x1; Chi phí tài sản cố định:1x1; Chi phí làm giấy tờ cho NNN:1x1; Chi phí sinh nhật:1x1; Chi phí phân bổ từ hành chính :1x1; 勘定科目:244x9; 原価センタ:66x5",YES,YES,YES,YES,YES,YES,YES,YES,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\requirements\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026_ảnh.xlsx,Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026_ảnh.xlsx,requirement,"Sheet1; Hạng mục cần cải tiến; Chi phí hệ thống; Chi phí khấu hao, lãi nhà đất; Chi phí tài sản cố định; Chi phí làm giấy tờ cho NNN; Chi phí sinh nhật; Chi phí phân bổ từ hành chính ; 勘定科目; 原価センタ","Sheet1:1x1; Hạng mục cần cải tiến:1x1; Chi phí hệ thống:1x1; Chi phí khấu hao, lãi nhà đất:1x1; Chi phí tài sản cố định:1x1; Chi phí làm giấy tờ cho NNN:1x1; Chi phí sinh nhật:1x1; Chi phí phân bổ từ hành chính :1x1; 勘定科目:244x9; 原価センタ:66x5",YES,YES,YES,YES,YES,YES,YES,YES,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026_ảnh.xlsx,Cải tiến nhập dữ liệu chung vào file MPnew 04.06.2026_ảnh.xlsx,requirement,"Sheet1; Hạng mục cần cải tiến; Chi phí hệ thống; Chi phí khấu hao, lãi nhà đất; Chi phí tài sản cố định; Chi phí làm giấy tờ cho NNN; Chi phí sinh nhật; Chi phí phân bổ từ hành chính ; 勘定科目; 原価センタ","Sheet1:1x1; Hạng mục cần cải tiến:1x1; Chi phí hệ thống:1x1; Chi phí khấu hao, lãi nhà đất:1x1; Chi phí tài sản cố định:1x1; Chi phí làm giấy tờ cho NNN:1x1; Chi phí sinh nhật:1x1; Chi phí phân bổ từ hành chính :1x1; 勘定科目:244x9; 原価センタ:66x5",YES,YES,YES,YES,YES,YES,YES,YES,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\requirements\cai_tien_nhap_du_lieu_chung.md,cai_tien_nhap_du_lieu_chung.md,requirement,csv/md,lines:1855,NO,NO,NO,NO,NO,NO,NO,NO,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\source_file_order.csv,source_file_order.csv,requirement,csv/md,lines:10,NO,NO,NO,NO,NO,NO,NO,NO,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\source_file_order.xlsx,source_file_order.xlsx,requirement,source_file_order,source_file_order:10x5,NO,NO,NO,NO,NO,NO,NO,NO,YES,requirement,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\施設課　MPFY2027.xlsx,施設課　MPFY2027.xlsx,raw_input,減価償却費（Depreciation）; 固定資産金利（Interest）; 水道光熱費（Electric & Water）; B&L; E&W,減価償却費（Depreciation）:136x15; 固定資産金利（Interest）:136x15; 水道光熱費（Electric & Water）:137x15; B&L:87x63; E&W:129x30,YES,NO,NO,NO,NO,NO,NO,NO,NO,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,raw_input,2025.11; Fixed assets list; Sheet1; KDTVN - useful life; Useful life; Calculate Depr&Interest FA; Planned Depreciation,2025.11:1271x25; Fixed assets list:9382x23; Sheet1:8783x17; KDTVN - useful life:275x9; Useful life:66x4; Calculate Depr&Interest FA:52x16; Planned Depreciation:8662x18,NO,NO,NO,NO,NO,NO,NO,NO,YES,source_master,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\システム課金金額(Simulation)_FY2027_Apr.2026 ~ June.2026.xls,システム課金金額(Simulation)_FY2027_Apr.2026 ~ June.2026.xls,raw_input,部門別サマリー(VND); 部門別サマリー (USD); VPN 明細; メール 明細; R3明細; MES 明細; PLM明細; QLIK SENSE 明細; VPS明細; AMS明細,部門別サマリー(VND):67x14; 部門別サマリー (USD):67x12; VPN 明細:45x13; メール 明細:760x13; R3明細:147x12; MES 明細:352x12; PLM明細:18x12; QLIK SENSE 明細:10x11; VPS明細:198x12; AMS明細:11x7,YES,NO,NO,NO,NO,NO,NO,NO,YES,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\総務課 FY2027 MP 振替予定.xlsx,総務課 FY2027 MP 振替予定.xlsx,raw_input,"FY2027予定; Cách tính phân bổ 振替計算; cách tính Gas; Số ngày xe bus ; Tính NRT, GVS (2); Tính gas; Tính NRT, GVS; Tính bus VN; Dự kiến tuyển dụng; Số ngày xe bus","FY2027予定:20x19; Cách tính phân bổ 振替計算:48x21; cách tính Gas:25x13; Số ngày xe bus :42x13; Tính NRT, GVS (2):48x15; Tính gas:13x13; Tính NRT, GVS:50x15; Tính bus VN:83x16; Dự kiến tuyển dụng:5x14; Số ngày xe bus:33x13",NO,NO,NO,NO,NO,NO,YES,NO,YES,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\Sinh nhật MP FY2027.xlsx,Sinh nhật MP FY2027.xlsx,raw_input,Sinh nhật MP FY2027,Sinh nhật MP FY2027:65x21,YES,NO,NO,NO,NO,NO,NO,NO,YES,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\FY2027配賦額一覧 (2025.12.29).xlsx,FY2027配賦額一覧 (2025.12.29).xlsx,raw_input,配賦額一覧; FY2027配賦額一覧,配賦額一覧:85x11; FY2027配賦額一覧:81x10,NO,NO,YES,YES,NO,NO,YES,NO,YES,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\Dự tính chi phí làm giấy tờ cho NNN FY2027.xlsx,Dự tính chi phí làm giấy tờ cho NNN FY2027.xlsx,raw_input,FY2027,FY2027:47x18,YES,NO,NO,NO,NO,NO,NO,NO,YES,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\event_drivers_manual.csv,event_drivers_manual.csv,manual_csv,csv/md,lines:1,NO,NO,NO,NO,NO,NO,NO,NO,NO,source_master,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\special_costs_manual.csv,special_costs_manual.csv,manual_csv,csv/md,lines:1,NO,NO,NO,NO,NO,NO,NO,NO,NO,source_master,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\headcount_manual.csv,headcount_manual.csv,manual_csv,csv/md,lines:17,NO,NO,NO,NO,NO,NO,NO,NO,NO,source_master,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\raw\FORM.xlsx,FORM.xlsx,template,採算表(USD); 採算表(VND); 内訳ﾘｽﾄ(4～3月); 設備投資計画; 勘定科目; 原価センタ; 稼働日,採算表(USD):99x15; 採算表(VND):99x61; 内訳ﾘｽﾄ(4～3月):1015x55; 設備投資計画:55x19; 勘定科目:244x9; 原価センタ:66x5; 稼働日:14x2,YES,YES,YES,YES,YES,YES,YES,YES,YES,skeleton_template,has 内訳ﾘｽﾄ(4～3月)
D:\Sandbox\MP2027\reference_outputs\primary\16.KDTVN 電気製造技術課_MP FY2027_各予定(Ver01).xlsx,16.KDTVN 電気製造技術課_MP FY2027_各予定(Ver01).xlsx,primary_reference,採算表(USD); 採算表(VND); 内訳ﾘｽﾄ(4～3月); 設備投資計画; 勘定科目; 原価センタ; 稼働日,採算表(USD):99x15; 採算表(VND):99x61; 内訳ﾘｽﾄ(4～3月):1000x55; 設備投資計画:55x19; 勘定科目:244x9; 原価センタ:64x5; 稼働日:14x2,YES,YES,YES,YES,YES,YES,YES,YES,YES,generated_output_reference,has 内訳ﾘｽﾄ(4～3月)
D:\Sandbox\MP2027\docs\MP2027\Dự tính chi phí làm giấy tờ cho NNN FY2027.xlsx,Dự tính chi phí làm giấy tờ cho NNN FY2027.xlsx,raw_input,FY2027,FY2027:47x18,YES,NO,NO,NO,NO,NO,NO,NO,YES,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\event_drivers_manual.csv,event_drivers_manual.csv,raw_input,csv/md,lines:1,NO,NO,NO,NO,NO,NO,NO,NO,NO,source_master,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\FORM.xlsx,FORM.xlsx,raw_input,採算表(USD); 採算表(VND); 内訳ﾘｽﾄ(4～3月); 設備投資計画; 勘定科目; 原価センタ; 稼働日,採算表(USD):99x15; 採算表(VND):99x61; 内訳ﾘｽﾄ(4～3月):1015x55; 設備投資計画:55x19; 勘定科目:244x9; 原価センタ:66x5; 稼働日:14x2,YES,YES,YES,YES,YES,YES,YES,YES,YES,generated_output_reference,has 内訳ﾘｽﾄ(4～3月)
D:\Sandbox\MP2027\docs\MP2027\FY2027配賦額一覧 (2025.12.29).xlsx,FY2027配賦額一覧 (2025.12.29).xlsx,raw_input,配賦額一覧; FY2027配賦額一覧,配賦額一覧:85x11; FY2027配賦額一覧:81x10,NO,NO,YES,YES,NO,NO,YES,NO,YES,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\headcount_manual.csv,headcount_manual.csv,raw_input,csv/md,lines:17,NO,NO,NO,NO,NO,NO,NO,NO,NO,source_master,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\Sinh nhật MP FY2027.xlsx,Sinh nhật MP FY2027.xlsx,raw_input,Sinh nhật MP FY2027,Sinh nhật MP FY2027:65x21,YES,NO,NO,NO,NO,NO,NO,NO,YES,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\source_file_order.csv,source_file_order.csv,raw_input,csv/md,lines:10,NO,NO,NO,NO,NO,NO,NO,NO,YES,source_master,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\source_file_order.xlsx,source_file_order.xlsx,raw_input,source_file_order,source_file_order:10x5,NO,NO,NO,NO,NO,NO,NO,NO,YES,source_master,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\special_costs_manual.csv,special_costs_manual.csv,raw_input,csv/md,lines:1,NO,NO,NO,NO,NO,NO,NO,NO,NO,source_master,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\システム課金金額(Simulation)_FY2027_Apr.2026 ~ June.2026.xls,システム課金金額(Simulation)_FY2027_Apr.2026 ~ June.2026.xls,raw_input,部門別サマリー(VND); 部門別サマリー (USD); VPN 明細; メール 明細; R3明細; MES 明細; PLM明細; QLIK SENSE 明細; VPS明細; AMS明細,部門別サマリー(VND):67x14; 部門別サマリー (USD):67x12; VPN 明細:45x13; メール 明細:760x13; R3明細:147x12; MES 明細:352x12; PLM明細:18x12; QLIK SENSE 明細:10x11; VPS明細:198x12; AMS明細:11x7,YES,NO,NO,NO,NO,NO,NO,NO,YES,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\システム課金金額(Simulation)_FY2027_Jan.2027 ~ March.2027(Change SAP price).xls,システム課金金額(Simulation)_FY2027_Jan.2027 ~ March.2027(Change SAP price).xls,raw_input,部門別サマリー(VND); 部門別サマリー (USD); VPN 明細; メール 明細; R3明細; MES 明細; PLM明細; QLIK SENSE 明細; VPS明細; AMS明細,部門別サマリー(VND):66x14; 部門別サマリー (USD):66x12; VPN 明細:45x13; メール 明細:760x13; R3明細:147x12; MES 明細:352x12; PLM明細:18x12; QLIK SENSE 明細:10x11; VPS明細:198x12; AMS明細:10x7,YES,NO,NO,NO,NO,NO,NO,NO,YES,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\システム課金金額(Simulation)_FY2027_July.2026 ~ Dec.2026(Change AMS & PLM price).xls,システム課金金額(Simulation)_FY2027_July.2026 ~ Dec.2026(Change AMS & PLM price).xls,raw_input,部門別サマリー(VND); 部門別サマリー (USD); VPN 明細; メール 明細; R3明細; MES 明細; PLM明細; QLIK SENSE 明細; VPS明細; AMS明細,部門別サマリー(VND):66x14; 部門別サマリー (USD):66x12; VPN 明細:45x13; メール 明細:760x13; R3明細:147x12; MES 明細:352x12; PLM明細:18x12; QLIK SENSE 明細:10x11; VPS明細:198x12; AMS明細:10x7,YES,NO,NO,NO,NO,NO,NO,NO,YES,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,固定資産情報_Fixed_Assets_Information_2025.11 - Nov.xlsx,raw_input,2025.11; Fixed assets list; Sheet1; KDTVN - useful life; Useful life; Calculate Depr&Interest FA; Planned Depreciation,2025.11:1271x25; Fixed assets list:9382x23; Sheet1:8783x17; KDTVN - useful life:275x9; Useful life:66x4; Calculate Depr&Interest FA:52x16; Planned Depreciation:8662x18,NO,NO,NO,NO,NO,NO,NO,NO,YES,source_master,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\施設課　MPFY2027.xlsx,施設課　MPFY2027.xlsx,raw_input,減価償却費（Depreciation）; 固定資産金利（Interest）; 水道光熱費（Electric & Water）; B&L; E&W,減価償却費（Depreciation）:136x15; 固定資産金利（Interest）:136x15; 水道光熱費（Electric & Water）:137x15; B&L:87x63; E&W:129x30,YES,NO,NO,NO,NO,NO,NO,NO,NO,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\総務課 FY2027 MP 振替予定.xlsx,総務課 FY2027 MP 振替予定.xlsx,raw_input,"FY2027予定; Cách tính phân bổ 振替計算; cách tính Gas; Số ngày xe bus ; Tính NRT, GVS (2); Tính gas; Tính NRT, GVS; Tính bus VN; Dự kiến tuyển dụng; Số ngày xe bus","FY2027予定:20x19; Cách tính phân bổ 振替計算:48x21; cách tính Gas:25x13; Số ngày xe bus :42x13; Tính NRT, GVS (2):48x15; Tính gas:13x13; Tính NRT, GVS:50x15; Tính bus VN:83x16; Dự kiến tuyển dụng:5x14; Số ngày xe bus:33x13",NO,NO,NO,NO,NO,NO,YES,NO,YES,raw_source,text scan sampled first 300 rows/sheet
D:\Sandbox\MP2027\docs\MP2027\old\FORM_old.xlsx,FORM_old.xlsx,raw_input,採算表(USD); 採算表(VND); 内訳ﾘｽﾄ(4～3月); 設備投資計画; 勘定科目; 原価センタ; 稼働日,採算表(USD):99x15; 採算表(VND):99x61; 内訳ﾘｽﾄ(4～3月):1000x55; 設備投資計画:55x19; 勘定科目:244x9; 原価センタ:64x5; 稼働日:14x2,YES,YES,YES,YES,YES,YES,YES,YES,YES,generated_output_reference,has 内訳ﾘｽﾄ(4～3月)
D:\Sandbox\MP2027\reference_outputs\secondary\FY2027\01.KDTVN 機器製造1課　_MP FY2027_各予定(Ver01).xlsx,01.KDTVN 機器製造1課　_MP FY2027_各予定(Ver01).xlsx,secondary_reference,採算表(USD); 採算表(VND); 内訳ﾘｽﾄ(4～3月); 設備投資計画; 勘定科目; 原価センタ; 稼働日,採算表(USD):99x15; 採算表(VND):99x61; 内訳ﾘｽﾄ(4～3月):1001x54; 設備投資計画:55x19; 勘定科目:244x9; 原価センタ:64x5; 稼働日:14x2,YES,YES,YES,YES,YES,YES,YES,YES,YES,generated_output_reference,has 内訳ﾘｽﾄ(4～3月)
D:\Sandbox\MP2027\reference_outputs\secondary\FY2027\02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,02.KDTVN 機器製造２課　_MP FY2027_各予定(Ver01).xlsx,secondary_reference,採算表(USD); 採算表(VND); 内訳ﾘｽﾄ(4～3月); 設備投資計画; 勘定科目; 原価センタ; 稼働日,採算表(USD):99x15; 採算表(VND):99x61; 内訳ﾘｽﾄ(4～3月):1000x63; 設備投資計画:55x19; 勘定科目:244x9; 原価センタ:64x5; 稼働日:14x2,YES,YES,YES,YES,YES,YES,YES,YES,YES,generated_output_reference,has 内訳ﾘｽﾄ(4～3月)
D:\Sandbox\MP2027\reference_outputs\secondary\FY2027\03.KDTVN 機器製造管理課_MP FY2027_各予定(Ver01).xlsx,03.KDTVN 機器製造管理課_MP FY2027_各予定(Ver01).xlsx,secondary_reference,採算表(USD); 採算表(VND); 内訳ﾘｽﾄ(4～3月); 設備投資計画; 勘定科目; 原価センタ; 稼働日,採算表(USD):99x15; 採算表(VND):99x61; 内訳ﾘｽﾄ(4～3月):1001x55; 設備投資計画:55x19; 勘定科目:244x9; 原価センタ:64x5; 稼働日:14x2,YES,YES,YES,YES,YES,YES,YES,YES,YES,generated_output_reference,has 内訳ﾘｽﾄ(4～3月)
